symbol,exchange,first_seen,last_seen,trading_days,source,universe_reason,data_status
3484,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
3485,TPEx,2026-05-06,2026-08-19,74,TPEx STK_WN1430,observed in official daily market table,EXCLUDE_INSUFFICIENT_HISTORY
3489,TPEx,2018-01-02,2026-08-19,2087,TPEx STK_WN1430,observed in official daily market table,READY
3490,TPEx,2018-01-02,2026-08-19,2089,TPEx STK_WN1430,observed in official daily market table,READY
3491,TPEx,2018-01-02,2026-08-19,2093,TPEx STK_WN1430,observed in official daily market table,READY
3492,TPEx,2018-01-02,2026-08-19,2089,TPEx STK_WN1430,observed in official daily market table,READY
3498,TPEx,2018-01-02,2026-08-19,2089,TPEx STK_WN1430,observed in official daily market table,READY
3499,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
3508,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
3511,TPEx,2018-01-02,2026-08-19,2094,TPEx STK_WN1430,observed in official daily market table,READY
3512,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
3516,TPEx,2018-01-02,2026-08-19,2069,TPEx STK_WN1430,observed in official daily market table,READY
3520,TPEx,2018-01-02,2026-08-19,2088,TPEx STK_WN1430,observed in official daily market table,READY
3521,TPEx,2018-01-02,2026-08-19,2087,TPEx STK_WN1430,observed in official daily market table,READY
3522,TPEx,2018-01-02,2026-08-19,2088,TPEx STK_WN1430,observed in official daily market table,READY
3523,TPEx,2018-01-02,2026-08-19,1974,TPEx STK_WN1430,observed in official daily market table,READY
3526,TPEx,2018-01-02,2026-08-19,2088,TPEx STK_WN1430,observed in official daily market table,READY
3527,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
3529,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
3531,TPEx,2018-01-02,2026-08-19,1974,TPEx STK_WN1430,observed in official daily market table,READY
3537,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
3540,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
3541,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
3546,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
3548,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
3551,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
3552,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
3555,TPEx,2018-01-02,2026-08-19,1960,TPEx STK_WN1430,observed in official daily market table,READY
3556,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
3558,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
3562,TPEx,2018-01-02,2020-02-14,504,TPEx STK_WN1430,observed in official daily market table,READY
3564,TPEx,2018-01-02,2026-08-19,2080,TPEx STK_WN1430,observed in official daily market table,READY
3567,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
3570,TPEx,2018-01-02,2026-08-19,2077,TPEx STK_WN1430,observed in official daily market table,READY
3577,TPEx,2018-01-02,2026-08-19,2084,TPEx STK_WN1430,observed in official daily market table,READY
3580,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
3581,TPEx,2018-01-02,2026-08-19,2084,TPEx STK_WN1430,observed in official daily market table,READY
3587,TPEx,2018-01-02,2026-08-19,2094,TPEx STK_WN1430,observed in official daily market table,READY
3594,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
3597,TPEx,2020-03-09,2026-08-19,1558,TPEx STK_WN1430,observed in official daily market table,READY
3609,TPEx,2018-01-02,2026-08-19,2074,TPEx STK_WN1430,observed in official daily market table,READY
3611,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
3615,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
3623,TPEx,2018-01-02,2026-08-19,2091,TPEx STK_WN1430,observed in official daily market table,READY
3624,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
3625,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
3628,TPEx,2018-01-02,2026-08-19,2088,TPEx STK_WN1430,observed in official daily market table,READY
3629,TPEx,2018-01-02,2026-08-19,1540,TPEx STK_WN1430,observed in official daily market table,READY
3630,TPEx,2018-01-02,2026-08-19,2094,TPEx STK_WN1430,observed in official daily market table,READY
3631,TPEx,2018-01-02,2026-08-19,2042,TPEx STK_WN1430,observed in official daily market table,READY
3632,TPEx,2018-01-02,2026-08-19,2024,TPEx STK_WN1430,observed in official daily market table,READY
3642,TPEx,2018-01-02,2022-11-16,1182,TPEx STK_WN1430,observed in official daily market table,READY
3646,TPEx,2018-01-02,2026-08-19,2084,TPEx STK_WN1430,observed in official daily market table,READY
3663,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
3664,TPEx,2018-01-02,2026-08-19,2080,TPEx STK_WN1430,observed in official daily market table,READY
3666,TPEx,2018-01-02,2026-08-19,2094,TPEx STK_WN1430,observed in official daily market table,READY
3672,TPEx,2018-01-02,2026-08-19,2091,TPEx STK_WN1430,observed in official daily market table,READY
3675,TPEx,2018-01-02,2026-08-19,2093,TPEx STK_WN1430,observed in official daily market table,READY
3680,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
3684,TPEx,2018-01-02,2026-08-18,2006,TPEx STK_WN1430,observed in official daily market table,READY
3685,TPEx,2018-01-02,2026-08-19,2083,TPEx STK_WN1430,observed in official daily market table,READY
3687,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
3689,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
3691,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
3693,TPEx,2018-01-02,2026-08-19,2092,TPEx STK_WN1430,observed in official daily market table,READY
3707,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
3709,TPEx,2018-01-02,2026-08-19,2064,TPEx STK_WN1430,observed in official daily market table,READY
3710,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
3713,TPEx,2020-02-27,2026-08-19,1575,TPEx STK_WN1430,observed in official daily market table,READY
4102,TPEx,2018-01-02,2026-08-19,2091,TPEx STK_WN1430,observed in official daily market table,READY
4103,TPEx,2018-01-02,2018-11-06,206,TPEx STK_WN1430,observed in official daily market table,READY
4105,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
4107,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
4109,TPEx,2018-01-02,2026-08-19,2089,TPEx STK_WN1430,observed in official daily market table,READY
4111,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
4113,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
4114,TPEx,2018-01-02,2026-08-19,2094,TPEx STK_WN1430,observed in official daily market table,READY
4116,TPEx,2018-01-02,2026-08-19,2094,TPEx STK_WN1430,observed in official daily market table,READY
4120,TPEx,2018-01-02,2026-08-19,2091,TPEx STK_WN1430,observed in official daily market table,READY
4121,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
4123,TPEx,2018-01-02,2026-08-19,2093,TPEx STK_WN1430,observed in official daily market table,READY
4126,TPEx,2018-01-02,2026-08-19,2094,TPEx STK_WN1430,observed in official daily market table,READY
4127,TPEx,2018-01-02,2026-08-19,2094,TPEx STK_WN1430,observed in official daily market table,READY
4128,TPEx,2018-01-02,2026-08-19,2094,TPEx STK_WN1430,observed in official daily market table,READY
4129,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
4130,TPEx,2018-01-02,2026-07-21,2073,TPEx STK_WN1430,observed in official daily market table,READY
4131,TPEx,2018-01-02,2026-08-19,1830,TPEx STK_WN1430,observed in official daily market table,READY
4138,TPEx,2018-01-02,2026-08-19,2090,TPEx STK_WN1430,observed in official daily market table,READY
4139,TPEx,2018-01-02,2026-08-19,2090,TPEx STK_WN1430,observed in official daily market table,READY
4147,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
4152,TPEx,2018-01-02,2021-09-29,906,TPEx STK_WN1430,observed in official daily market table,READY
4153,TPEx,2018-01-02,2026-08-19,2089,TPEx STK_WN1430,observed in official daily market table,READY
4154,TPEx,2018-01-02,2026-08-18,1948,TPEx STK_WN1430,observed in official daily market table,READY
4157,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
4160,TPEx,2018-01-02,2026-08-19,2087,TPEx STK_WN1430,observed in official daily market table,READY
4161,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
4162,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
4163,TPEx,2018-01-02,2026-08-19,2091,TPEx STK_WN1430,observed in official daily market table,READY
