symbol,name,exchange,listing_date,registration,industry_code,preferred_shares,source,instrument_type,is_ky,point_in_time_complete,is_suspended,is_disposition,is_full_cash_delivery,snapshot_date
8085,福華,TPEx,2004-03-01,－,31,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
8086,宏捷科,TPEx,2009-06-01,－,24,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
8087,麗升能源,TPEx,2004-02-25,－,35,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
8088,品安,TPEx,2004-02-27,－,24,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
8089,康全電訊,TPEx,2020-09-23,－,27,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
8091,翔名,TPEx,2004-06-24,－,24,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
8092,建暐,TPEx,2004-02-02,－,31,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
8093,保銳,TPEx,2004-12-31,－,28,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
8096,擎亞,TPEx,2004-07-15,－,29,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
8097,常珵,TPEx,2004-03-01,－,27,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
8099,大世科,TPEx,2004-03-29,－,30,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
8102,傑霖科技,TPEx,2025-12-22,－,24,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
8107,大億金茂,TPEx,2005-11-15,－,05,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
8109,博大,TPEx,2005-03-22,－,28,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
8111,立碁,TPEx,2004-02-09,－,26,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
8121,越峰,TPEx,2005-02-17,－,28,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
8147,正淩,TPEx,2013-04-30,－,28,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
8155,博智,TPEx,2012-12-18,－,28,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
8171,天宇,TPEx,2011-12-19,－,35,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
8176,智捷,TPEx,2013-06-25,－,27,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
8182,加高,TPEx,2006-05-25,－,28,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
