symbol,security_type,exchange,name,category,unit,trading_suspended,disposition_level,attention_flag,settlement_type,reference,update_date,source,retrieved_at
3306,STK,OTC,鼎天,27,1000.0,False,0.0,False,0,44.2,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.258351
3310,STK,OTC,佳穎,28,1000.0,False,0.0,False,0,69.5,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.258351
3313,STK,OTC,斐成,14,1000.0,False,0.0,False,0,10.25,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.258351
3317,STK,OTC,尼克森,24,1000.0,False,0.0,False,0,66.9,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.259896
3322,STK,OTC,建舜電,28,1000.0,False,0.0,False,0,11.25,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.259896
3323,STK,OTC,加百裕,25,1000.0,False,0.0,False,0,29.55,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.259896
3324,STK,OTC,雙鴻,31,1000.0,False,0.0,False,0,989.0,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.259896
3325,STK,OTC,旭品,25,1000.0,False,0.0,False,0,11.3,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.260893
3332,STK,OTC,幸康,28,1000.0,False,0.0,False,0,62.0,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.261405
3339,STK,OTC,泰谷,26,1000.0,False,0.0,False,0,37.65,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.261405
3349,STK,OTC,寶德,25,1000.0,False,0.0,False,0,23.5,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.261933
3354,STK,OTC,律勝,28,1000.0,False,0.0,False,0,20.15,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.261933
3357,STK,OTC,臺慶科,28,1000.0,False,0.0,False,0,218.5,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.261933
3360,STK,OTC,尚立,29,1000.0,False,0.0,False,0,15.7,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.261933
3362,STK,OTC,先進光,26,1000.0,False,0.0,False,0,181.5,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.262958
3363,STK,OTC,上詮,27,1000.0,False,0.0,False,0,584.0,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.262958
3372,STK,OTC,典範,24,1000.0,False,0.0,False,0,14.85,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.262958
