date,symbol,close,oscillation_score,low_score,historical_events,mr_probability,regime_risk_score,final_score,take_profit
2025-04-02,4979,168.0,97.05984088550674,68.76235380101552,58,0.6724137931034483,20.0,78.48095450900935,0.15
2025-04-07,4979,151.5,95.12605042016807,87.96381615154773,58,0.6724137931034483,20.0,82.7011829570408,0.15
2025-04-08,4979,136.5,93.22448979591837,91.52149668083082,58,0.6724137931034483,20.0,83.02013490208667,0.15
2025-04-09,4979,123.0,89.47197926789764,94.15952714179348,58,0.6724137931034483,20.0,82.55388935892111,0.15
2025-04-10,4979,135.0,91.11111111111111,69.47368410424212,58,0.6724137931034483,20.0,76.8741681524973,0.15
2025-04-11,4979,130.5,87.82467532467533,75.47570294086611,58,0.6724137931034483,20.0,77.38874212572257,0.15
2025-04-14,4979,133.0,89.32676518883416,66.27839128775435,58,0.6724137931034483,20.0,75.54004117169228,0.15
2025-10-14,4979,179.0,96.95550351288057,87.3790620078874,63,0.6825396825396826,20.0,83.4076070320265,0.15
2025-10-15,4979,180.0,95.71428571428572,81.92397753348956,63,0.6825396825396826,20.0,81.67147057384858,0.15
2026-07-07,4979,428.0,99.15364327047986,80.63545947923137,65,0.6923076923076923,20.0,82.67418862018258,0.15
2026-07-08,4979,434.5,98.79336946631325,71.33891079930406,65,0.6923076923076923,20.0,80.24196930895076,0.15
2026-07-09,4979,432.5,97.9020979020979,71.7650888789891,65,0.6923076923076923,20.0,80.08113235960741,0.15
2026-07-13,4979,419.0,95.35490180099421,79.1253519783804,65,0.6923076923076923,20.0,81.15703930412414,0.15
2026-07-14,4979,403.0,92.38261738261738,82.2170590412059,65,0.6923076923076923,20.0,81.03828074431746,0.15
2026-07-15,4979,410.0,89.96138996138995,72.76696576168756,65,0.6923076923076923,20.0,77.94938919806964,0.15
2026-07-16,4979,392.0,86.05841348274949,82.4597766490137,65,0.6923076923076923,20.0,79.20169897630905,0.15
2026-07-17,4979,356.0,86.66845015159622,90.9075602916167,65,0.6923076923076923,20.0,81.4966558876138,0.15
2026-07-20,4979,340.0,87.03338119167265,92.69757219697101,65,0.6923076923076923,20.0,82.05363817597532,0.15
2026-07-21,4979,357.0,90.3038138332256,74.81135558372915,65,0.6923076923076923,20.0,78.56321381513072,0.15
2025-01-06,5202,23.15,99.90946949121854,70.56494257183684,12,0.8333333333333334,20.0,84.61407649032478,0.2
2025-01-07,5202,22.75,98.17784256559767,76.17178897093875,12,0.8333333333333334,20.0,85.49630001241398,0.2
