symbol,exchange,rows,first_date,last_date,duplicate_dates,invalid_ohlcv_rows,max_field_missing_ratio,missing_trading_day_ratio,has_120_days,downloaded
3577,TPEx,2084,2018-01-02,2026-08-19,0,0,0.0,0.005250596658711193,True,True
3580,TPEx,2095,2018-01-02,2026-08-19,0,0,0.0,0.0,True,True
3581,TPEx,2084,2018-01-02,2026-08-19,0,0,0.0,0.005250596658711193,True,True
3587,TPEx,2094,2018-01-02,2026-08-19,0,0,0.0,0.0004773269689737347,True,True
3594,TPEx,2095,2018-01-02,2026-08-19,0,0,0.0,0.0,True,True
3597,TPEx,1558,2020-03-09,2026-08-19,0,0,0.0,0.007643312101910826,True,True
3609,TPEx,2074,2018-01-02,2026-08-19,0,0,0.0,0.010023866348448651,True,True
3611,TPEx,2095,2018-01-02,2026-08-19,0,0,0.0,0.0,True,True
3615,TPEx,2095,2018-01-02,2026-08-19,0,0,0.0,0.0,True,True
3623,TPEx,2091,2018-01-02,2026-08-19,0,0,0.0,0.0019093078758949389,True,True
3624,TPEx,2095,2018-01-02,2026-08-19,0,0,0.0,0.0,True,True
3625,TPEx,2095,2018-01-02,2026-08-19,0,0,0.0,0.0,True,True
3628,TPEx,2088,2018-01-02,2026-08-19,0,0,0.0,0.003341288782816254,True,True
3629,TPEx,1540,2018-01-02,2026-08-19,0,0,0.0,0.26491646778042954,True,True
3630,TPEx,2094,2018-01-02,2026-08-19,0,0,0.0,0.0004773269689737347,True,True
3631,TPEx,2042,2018-01-02,2026-08-19,0,0,0.0,0.025298329355608606,True,True
3632,TPEx,2024,2018-01-02,2026-08-19,0,0,0.0,0.03389021479713605,True,True
3646,TPEx,2084,2018-01-02,2026-08-19,0,0,0.0,0.005250596658711193,True,True
3663,TPEx,2095,2018-01-02,2026-08-19,0,0,0.0,0.0,True,True
3664,TPEx,2080,2018-01-02,2026-08-19,0,0,0.0,0.007159904534606243,True,True
3666,TPEx,2094,2018-01-02,2026-08-19,0,0,0.0,0.0004773269689737347,True,True
3672,TPEx,2091,2018-01-02,2026-08-19,0,0,0.0,0.0019093078758949389,True,True
3675,TPEx,2093,2018-01-02,2026-08-19,0,0,0.0,0.0009546539379474694,True,True
3680,TPEx,2095,2018-01-02,2026-08-19,0,0,0.0,0.0,True,True
3684,TPEx,2006,2018-01-02,2026-08-18,0,0,0.0,0.042024832855778405,True,True
3685,TPEx,2083,2018-01-02,2026-08-19,0,0,0.0,0.005727923627684928,True,True
3687,TPEx,2095,2018-01-02,2026-08-19,0,0,0.0,0.0,True,True
3689,TPEx,2095,2018-01-02,2026-08-19,0,0,0.0,0.0,True,True
3691,TPEx,2095,2018-01-02,2026-08-19,0,0,0.0,0.0,True,True
3693,TPEx,2092,2018-01-02,2026-08-19,0,0,0.0,0.0014319809069212042,True,True
3707,TPEx,2095,2018-01-02,2026-08-19,0,0,0.0,0.0,True,True
3709,TPEx,2064,2018-01-02,2026-08-19,0,0,0.0,0.01479713603818611,True,True
3710,TPEx,2095,2018-01-02,2026-08-19,0,0,0.0,0.0,True,True
3713,TPEx,1575,2020-02-27,2026-08-19,0,0,0.0,0.0006345177664974777,True,True
4102,TPEx,2091,2018-01-02,2026-08-19,0,0,0.0,0.0019093078758949389,True,True
4105,TPEx,2095,2018-01-02,2026-08-19,0,0,0.0,0.0,True,True
4107,TPEx,2095,2018-01-02,2026-08-19,0,0,0.0,0.0,True,True
4109,TPEx,2089,2018-01-02,2026-08-19,0,0,0.0,0.0028639618138425194,True,True
4111,TPEx,2095,2018-01-02,2026-08-19,0,0,0.0,0.0,True,True
4113,TPEx,2095,2018-01-02,2026-08-19,0,0,0.0,0.0,True,True
4114,TPEx,2094,2018-01-02,2026-08-19,0,0,0.0,0.0004773269689737347,True,True
4116,TPEx,2094,2018-01-02,2026-08-19,0,0,0.0,0.0004773269689737347,True,True
4120,TPEx,2091,2018-01-02,2026-08-19,0,0,0.0,0.0019093078758949389,True,True
4121,TPEx,2095,2018-01-02,2026-08-19,0,0,0.0,0.0,True,True
4123,TPEx,2093,2018-01-02,2026-08-19,0,0,0.0,0.0009546539379474694,True,True
4126,TPEx,2094,2018-01-02,2026-08-19,0,0,0.0,0.0004773269689737347,True,True
4127,TPEx,2094,2018-01-02,2026-08-19,0,0,0.0,0.0004773269689737347,True,True
4128,TPEx,2094,2018-01-02,2026-08-19,0,0,0.0,0.0004773269689737347,True,True
4129,TPEx,2095,2018-01-02,2026-08-19,0,0,0.0,0.0,True,True
4131,TPEx,1830,2018-01-02,2026-08-19,0,0,0.0,0.12649164677804292,True,True
4138,TPEx,2090,2018-01-02,2026-08-19,0,0,0.0,0.0023866348448687846,True,True
4139,TPEx,2090,2018-01-02,2026-08-19,0,0,0.0,0.0023866348448687846,True,True
4147,TPEx,2095,2018-01-02,2026-08-19,0,0,0.0,0.0,True,True
4153,TPEx,2089,2018-01-02,2026-08-19,0,0,0.0,0.0028639618138425194,True,True
4154,TPEx,1948,2018-01-02,2026-08-18,0,0,0.0,0.06972301814708692,True,True
4157,TPEx,2095,2018-01-02,2026-08-19,0,0,0.0,0.0,True,True
4160,TPEx,2087,2018-01-02,2026-08-19,0,0,0.0,0.003818615751789989,True,True
4161,TPEx,2095,2018-01-02,2026-08-19,0,0,0.0,0.0,True,True
4162,TPEx,2095,2018-01-02,2026-08-19,0,0,0.0,0.0,True,True
4163,TPEx,2091,2018-01-02,2026-08-19,0,0,0.0,0.0019093078758949389,True,True
4166,TPEx,241,2025-08-21,2026-08-19,0,0,0.0,0.0,True,True
4167,TPEx,2095,2018-01-02,2026-08-19,0,0,0.0,0.0,True,True
4168,TPEx,2095,2018-01-02,2026-08-19,0,0,0.0,0.0,True,True
4171,TPEx,2092,2018-01-02,2026-08-19,0,0,0.0,0.0014319809069212042,True,True
4173,TPEx,2095,2018-01-02,2026-08-19,0,0,0.0,0.0,True,True
4174,TPEx,2090,2018-01-02,2026-08-19,0,0,0.0,0.0023866348448687846,True,True
4175,TPEx,2076,2018-01-02,2026-08-19,0,0,0.0,0.009069212410501182,True,True
4183,TPEx,1880,2018-01-02,2026-08-19,0,0,0.0,0.10262529832935563,True,True
